Product Name,Price
Cranberry + Kumquat Clear Quartz,$30.00
Crystal Clusters,$35.00
Giant Crystal Candy Custom Order,from$115.00
Gift Card,from$25.00
Green Apple + Pear Apatite,$26.00
Honeydew Peridot,$26.00
Kiwi + Lychee Emerald,$26.00
Lychee Rose-Quartz Lover,$26.00
Shipping Protection,from$0.50
Silky Gem 16oz Soda Can Style Frosted Glass,$25.00
Silky Gem X Freezies Treats,$24.00
Silky Gem® Blue Raspberry Lapis,$26.00
Silky Gem® Crystallicious,$45.00
Silky Gem® Gems Me Up,$140.00
Silky Gem® Jams Me Up,$40.00
Silky Gem® Love at First Bite,$40.00
Silky Gem® Lunar Crystals,$19.00
Silky Gem® Lychee Aurora Crystal,$26.00
Silky Gem® Mango Silky Amber,$26.00
Silky Gem® Mystery Box,$65.00
Silky Gem® Peach Moonstone,$26.00
Silky Gem® Peony Dream,$15.00
Silky Gem® Pieces of Bling,$40.00
Silky Gem® Pixie Sour Dip,$9.00
Silky Gem® Sizzle Sour Dip Blue Raspberry,$9.00
Silky Gem® Sizzle Sour Dip Lemon,$9.00
Silky Gem® Sizzle Sour Dip Lime-Pineapple,$9.00
Silky Gem® Sizzle Sour Dip Mango,$9.00
